Geography,What is the capital of France?,Paris,London,Berlin,Rome
Geography,What is the largest planet in our solar system?,Jupiter,Mars,Saturn,Neptune
Geography,What is the tallest mountain in the world?,Mount Everest,Kilimanjaro,K2,Matterhorn
Geography,What is the capital of Japan?,Tokyo,Beijing,Seoul,New Delhi
Geography,What is the currency of Brazil?,Brazilian Real,US Dollar,Euro,British Pound
Geography,What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean
Geography,Which country is known as the 'Land of the Rising Sun'?,Japan,China,Korea,Vietnam
Geography,What is the capital of Russia?,Moscow,St. Petersburg,Berlin,Prague
Geography,Which planet is known as the 'Red Planet'?,Mars,Venus,Jupiter,Saturn
Geography,Which country is famous for the Great Wall?,China,India,Italy,USA
Art,Who painted the Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Michelangelo
Art,Who painted the Sistine Chapel ceiling?,Michelangelo,Leonardo da Vinci,Raphael,Vincent van Gogh
Art,Who painted the Starry Night?,Vincent van Gogh,Pablo Picasso,Claude Monet,Salvador Dali
Art,Who sculpted the statue of David?,Michelangelo,Donatello,Raphael,Leonardo da Vinci
Art,Which artist is known for the painting 'The Persistence of Memory'?,Salvador Dali,Pablo Picasso,Claude Monet,Vincent van Gogh
Art,Who created the sculpture 'The Thinker'?,Auguste Rodin,Michelangelo,Donatello,Alberto Giacometti
Art,Who painted 'The Last Supper'?,Leonardo da Vinci,Raphael,Rembrandt,Caravaggio
Art,Who is the artist behind the painting 'Girl with a Pearl Earring'?,Johannes Vermeer,Edvard Munch,Gustav Klimt,Édouard Manet
Art,Which artist is known for the painting 'The Birth of Venus'?,Sandro Botticelli,Diego Velázquez,Édouard Manet,Paul Cézanne
Art,Who created the sculpture 'The Pieta'?,Michelangelo,Donatello,Gian Lorenzo Bernini,Andrea Palladio
Literature,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,Oscar Wilde,George Orwell,Jane Austen
Literature,Who is the author of 'To Kill a Mockingbird'?,Harper Lee,Jane Austen,Mark Twain,Charles Dickens
Literature,Who wrote the novel 'Pride and Prejudice'?,Jane Austen,Charlotte Bronte,Emily Bronte,Louisa May Alcott
Literature,Who is the author of 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,George Orwell,Jane Austen
Literature,Who wrote the epic poem 'Paradise Lost'?,John Milton,William Wordsworth,William Shakespeare,Alexander Pope
Literature,Which author wrote the novel '1984'?,George Orwell,Ernest Hemingway,Jane Austen,Mark Twain
Literature,Who is the author of 'Moby-Dick'?,Herman Melville,Emily Dickinson,Robert Frost,Walt Whitman
Literature,Which writer is known for 'The Catcher in the Rye'?,J.D. Salinger,F. Scott Fitzgerald,Harper Lee,Mark Twain
Literature,Who wrote the play 'Hamlet'?,William Shakespeare,Oscar Wilde,George Orwell,Charles Dickens
Literature,Who is the author of 'The Lord of the Rings'?,J.R.R. Tolkien,George R.R. Martin,J.K. Rowling,C.S. Lewis
